Angle_deg,Delta_avg
0,503602.50533333345
30,485120.4607777782
60,24744.123888888862
90,-54539.068833333215
120,-38164.092666666744
150,44921.402277777284
180,8480.85391666647
210,121870.34962499996
240,348790.5084444443
270,917096.1035000003
300,846370.5480555556
330,1447690.005472222
360,977103.154
