Index,Angle_deg,File,Delta_interp
1,0,1-3,6.056699999999999
2,30,2-3,1.9709250000000011
3,60,3-3,-0.07099999999999973
4,90,4-3,-0.48650000000000126
5,120,5-3,0.3069999999999986
6,150,6-3,2.1133000000000015
7,180,7-3,2.547600000000001
8,210,8-3,1.6265749999999999
9,240,9-3,-0.6330999999999989
10,270,10-3,1.20125
11,300,11-3,2.8736999999999995
12,330,12-3,4.465199999999999
13,360,13-3,6.056699999999999
