Index,Angle_deg,File,Delta_interp
1,0,1-2,5.262500000000001
2,30,2-2,3.042650000000001
3,60,3-2,0.622950000000001
4,90,4-2,-0.32552499999999895
5,120,5-2,1.8683000000000014
6,150,6-2,2.3672750000000002
7,180,7-2,1.5922999999999998
8,210,8-2,1.2557999999999998
9,240,9-2,3.0702
10,270,10-2,9.068925000000004
11,300,11-2,9.617000000000003
12,330,12-2,7.439750000000002
13,360,13-2,5.262500000000001
