Index,Angle_deg,File,Delta_interp
1,0,1-1,-2.7990999999999997
2,30,2-1,2.0607666666666655
3,60,3-1,3.1323333333333325
4,90,4-1,0.4156000000000013
5,120,5-1,1.0354000000000014
6,150,6-1,0.41173333333333395
7,180,7-1,-1.4554000000000011
8,210,8-1,-4.633799999999999
9,240,9-1,-4.678216666666666
10,270,10-1,-1.5886499999999995
11,300,11-1,1.500916666666666
12,330,12-1,1.0974333333333335
13,360,13-1,-2.7991
